,Property_name,xirr,flag,first_sale_price,second_sale_price,time,first_sale_date,second_sale_date,year_built,lat,long
14,Lakeside Village_1983_310_32.1915811_-110.8162326_1,0.060515953980452154,Evenly Decrease,24000000.0,24050000.0,6.822097462384909,2010/8/20,2016/7/27,1983,32.1915811,-110.8162326
15,Lakeside Village_1983_310_32.1915811_-110.8162326_2,0.24193022372084613,Inflate/Deflate with CPI,24050000.0,63250000.0,6.230316640467101,2016/7/27,2021/11/12,1983,32.1915811,-110.8162326
16,Desert Shadows_1985_338_32.3394263_-111.0243103_0,0.14617241597504949,Inflate/Deflate with CPI,15100000.0,69300000.0,16.68222172318287,2005/1/24,2021/9/30,1985,32.3394263,-111.0243103
17,Casa De Colinas_1997_205_32.236923_-111.0122011_1,0.13748348688535206,Inflate/Deflate with CPI,23000000.0,33750000.0,4.095890410958904,2017/7/28,2021/9/1,1997,32.236923,-111.0122011
18,Casa Lindas_1987_144_32.35063224_-110.9802987_0,1.0629473301215446,Evenly Increase,12709000.0,14500000.0,0.16712328767123288,2006/12/29,2007/2/28,1987,32.35063224,-110.9802987
19,Casa Lindas_1987_144_32.35063224_-110.9802987_1,0.07352589078450252,Evenly Increase,14500000.0,17650000.0,11.49591286772962,2007/2/28,2018/6/28,1987,32.35063224,-110.9802987
20,Casa Lindas_1987_144_32.35063224_-110.9802987_2,0.2552021110932664,Inflate/Deflate with CPI,17650000.0,32250000.0,3.463013698630137,2018/6/28,2021/8/16,1987,32.35063224,-110.9802987
21,Sundown Village_1984_330_32.35591_-110.97593_0,-0.24335193281748782,Inflate/Deflate with CPI,16720000.0,16605000.0,0.07671232876712329,2003/6/27,2003/7/25,1984,32.35591,-110.97593
22,Sundown Village_1984_330_32.35591_-110.97593_1,0.09139742399639621,Inflate/Deflate with CPI,16605000.0,18533333.3,9.420974623849089,2003/7/25,2012/11/28,1984,32.35591,-110.97593
23,Northpointe_1999_300_32.285039_-110.957645_0,0.1014682989756874,Evenly Decrease,26000000.0,29750000.0,10.628430271726925,2002/1/25,2012/9/12,1999,32.285039,-110.957645
24,Northpointe_1999_300_32.285039_-110.957645_1,0.10681658752758633,Inflate/Deflate with CPI,29750000.0,44000000.0,9.242106445093196,2012/9/12,2021/4/23,1999,32.285039,-110.957645
25,Agave At Twenty Two_1984_266_32.2069137_-110.8122758_0,0.4969876838088135,Inflate/Deflate with CPI,14100000.0,33450000.0,2.5123287671232877,2018/7/25,2021/1/28,1984,32.2069137,-110.8122758
26,Tierra Vida Luxury Apartment Homes_2000_200_32.35332967_-111.0099884_0,0.14003706536726385,Evenly Increase,15200000.0,35750000.0,10.693150684931506,2010/5/18,2021/1/26,2000,32.35332967,-111.0099884
27,Entrada Apartments II_1983_176_32.289789_-110.9504644_0,0.1272688987335776,Inflate/Deflate with CPI,22400000.0,27188674.0,2.1885245901639343,2018/8/22,2020/10/30,1983,32.289789,-110.9504644
28,Entrada Apartments I_1983_248_32.2891336_-110.9502304_0,0.3653858850038209,Inflate/Deflate with CPI,20600000.0,38311313.4,2.1885245901639343,2018/8/22,2020/10/30,1983,32.2891336,-110.9502304
29,Tanque Verde_1979_428_32.2518675_-110.8294652_0,-0.08104826051768071,Evenly Decrease,20300000.0,11400000.0,3.7424657534246575,2006/6/27,2010/3/25,1979,32.2518675,-110.8294652
